Age of Milk (Days Since Birth) ,Fat (g/dL),Protein (g/dL),Lactose (g/dL)
134,4.6,1.0,7.5
284,3.4,0.9,7.9
531,3.5,1.4,7.3
58,3.4,1.0,7.2
74,3.7,1.0,7.4
210,4.0,1.1,7.7
75,3.2,0.9,7.7
145,4.1,1.0,7.7
65,2.7,1.1,7.8
351,3.9,1.0,7.6
263,3.6,1.0,7.3
174,4.1,1.0,7.7
146,5.5,1.3,7.4
88,3.1,1.2,7.0
99,3.0,0.9,7.5
147,1.2,0.8,7.4
109,3.1,1.2,7.6
58,3.6,1.1,7.9
105,2.9,0.9,7.4
112,2.9,0.9,7.7
10,3.1,1.5,7.8
138,4.4,1.1,7.8
573,4.0,1.1,7.6
4,3.8,1.5,7.7
183,3.7,0.9,7.5
111,3.2,1.0,7.6
12,4.6,1.3,7.8
5,3.9,1.5,7.7
37,4.0,1.1,7.8
324,4.0,1.1,7.5
315,3.5,0.9,7.0
16,3.7,1.3,7.5
8,3.5,1.4,7.4
54,3.5,1.0,7.3
278,3.7,1.0,7.7
188,4.4,1.1,7.7
21,3.6,1.5,7.8
127,0.7,0.9,8.1
227,5.0,1.1,8.2
88,3.5,1.0,7.9
10,3.3,1.3,7.7
278,3.2,0.9,7.6
78,3.6,1.1,7.8
48,3.5,1.1,7.5
14,3.4,1.2,7.8
82,3.5,1.1,7.8
61,1.0,0.9,7.7
101,3.5,1.0,7.8
103,3.8,1.0,7.7
24,2.9,1.3,7.3
23,3.4,1.3,7.3
21,2.8,1.0,7.1
469,5.2,1.4,7.0
71,3.2,1.2,7.5
111,3.5,1.1,7.8
207,2.9,1.0,7.6
39,2.9,1.3,7.3
154,3.8,0.9,7.7
12,3.5,1.1,8.0
66,3.5,1.1,8.2
160,4.9,0.9,7.0
85,2.8,1.4,7.2
1,3.4,1.3,7.2
20,3.5,1.1,8.0
93,4.9,1.1,7.5
103,3.9,1.4,7.5
20,3.3,1.1,7.9
4,3.1,1.2,7.3
98,4.4,1.1,7.5
23,3.5,1.1,8.2
60,2.9,1.0,7.3
199,3.9,1.1,7.2
6,4.4,1.1,7.2
2,4.1,1.2,6.6
72,5.7,0.9,6.9
11,2.8,1.4,7.0
234,1.7,1.0,7.9
867,4.2,0.8,7.6
249,4.0,0.9,7.8
88,3.6,1.0,7.3
18,3.7,1.1,7.3
