Field,Alternative,Group,Description,ValueSet,Unit,TYPE,Comment
Key,,Field,Unique record ID in the Master sheet,,,Alphanumeric,"Unique one word (can be an integer, too); possibly consisting underscore or hyphen as separators"
Food,,Field,Food name,HumanMilk;  BovineMilk;  InfantFormula,,Alphanumeric,"Likely to be extended, in which case ValueSet is better placed in a definition table"
Source,,Field,Source of information,_Source,,Alphanumeric,Syntax checked like the Master sheet
Region,,Field,Geographic region of cohort,_Region,,Alphanumeric,Tree-structured definition sheet 
CohortSize,,Field,Cohort size,"[1, 99999]",cap,Numeric,
MeasMethod,MeasurementMethod,Field,Method of collecting data,_MeasMethod,,Alphanumeric,Tree-structured definition sheet 
Condition,,Field,Various conditions and history around birth,_Condition,,Alphanumeric,"Tree-structured definition sheet.  When values were given in g, mg etc per 100 g edible food, they were converted to g/L where 1 L is assumed to be 1kg.  See also https://www.ars.usda.gov/ARSUserFiles/80400530/pdf/fndds/FNDDS_2015_2016_factsheet.pdf. 
Common names given to the fatty acids based on their structure (C:D). See the reference https://www.aocs.org/Documents/Membership/Divisions/Comman_Names_FattyAcids.pdf"
Component,,Field,Food component per-volume concentration or relationships between them,_Component,,Alphanumeric,"Tree-structured definition sheet.  When values were given in g, mg etc per 100 g edible food, they were converted to g/L where 1 L is assumed to be 1kg.  See also https://www.ars.usda.gov/ARSUserFiles/80400530/pdf/fndds/FNDDS_2015_2016_factsheet.pdf. 
Common names given to the fatty acids based on their structure (C:D). See the reference https://www.aocs.org/Documents/Membership/Divisions/Comman_Names_FattyAcids.pdf"
Comment,,Field,Comment,,,FreeText,
Title,,Field,Title of paper / web-doc  etc,,,FreeText,
SourceDOI,,Field,DOI adress of paper web-doc,,,FreeText,
PublDate,,Field,Year of publication,"[1950,2025]",year,Numeric,
InputDate,,Field,Year of input,"[2020,2025]",year,Numeric,
InputBy,,Field,Responsible for inputting the record,_InputBy,,Alphanumeric,Simple definition sheet containing the responsible of entering the data
Comment/Summary,,Field,Comment to source record,,,FreeText,
